s39: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.19444444444444445, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 17516.7, 'utilized_bandwidth_ratio': 0.000350334, 'available_link_bandwidth': 99.9299332, 'link_delay': 20.0}
s23: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.16470588235294117, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 204.3, 'utilized_bandwidth_ratio': 4.086e-06, 'available_link_bandwidth': 99.9991828, 'link_delay': 20.0}
s25: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.1686746987951807, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 207.8, 'utilized_bandwidth_ratio': 4.1560000000000005e-06, 'available_link_bandwidth': 99.9991688, 'link_delay': 20.0}
s26: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.1686746987951807, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 207.8, 'utilized_bandwidth_ratio': 4.1560000000000005e-06, 'available_link_bandwidth': 99.9991688, 'link_delay': 20.0}
s27: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.1686746987951807, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 211.3, 'utilized_bandwidth_ratio': 4.226e-06, 'available_link_bandwidth': 99.9991548, 'link_delay': 20.0}
s28: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.1686746987951807, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 17664.4, 'utilized_bandwidth_ratio': 0.00035328800000000005, 'available_link_bandwidth': 99.9293424, 'link_delay': 20.0}
s30: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.2131979695431472, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 202.45, 'utilized_bandwidth_ratio': 4.049e-06, 'available_link_bandwidth': 99.9991902, 'link_delay': 20.0}
s37: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.2131979695431472, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 193.8, 'utilized_bandwidth_ratio': 3.876e-06, 'available_link_bandwidth': 99.9992248, 'link_delay': 20.0}
s31: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.19004524886877827, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 198.95, 'utilized_bandwidth_ratio': 3.9789999999999995e-06, 'available_link_bandwidth': 99.9992042, 'link_delay': 20.0}
s33: {'betweenness_centrality': 0.09407665505226481, 'closeness_centrality': 0.23333333333333334, 'node_edge_betweenness': 0.22591362126245845, 'degree_centrality': 0.07142857142857142, 'aggregate_traffic_load': 404.55, 'utilized_bandwidth_ratio': 3.5960000000000004e-06, 'available_link_bandwidth': 99.9989212, 'link_delay': 20.0}
s32: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.19004524886877827, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 198.95, 'utilized_bandwidth_ratio': 3.9789999999999995e-06, 'available_link_bandwidth': 99.9992042, 'link_delay': 20.0}
s34: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.22826086956521738, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 202.65, 'utilized_bandwidth_ratio': 4.053e-06, 'available_link_bandwidth': 99.9991894, 'link_delay': 20.0}
s40: {'betweenness_centrality': 0.0, 'closeness_centrality': 0.16666666666666666, 'node_edge_betweenness': 0.046511627906976744, 'degree_centrality': 0.023809523809523808, 'aggregate_traffic_load': 202.45, 'utilized_bandwidth_ratio': 4.049e-06, 'available_link_bandwidth': 99.9991902, 'link_delay': 20.0}
